Quarto,Tempo,Time,Indicador_01,placar_casa,placar_visitante
3,04:52,UFC,Sai Antonio,46,39
3,05:03,APB,Funches III acerta arremesso de dois pontos ,46,39
3,05:18,UFC,Assistência do D  Nunes,46,37
3,05:18,UFC,Barnes acerta arremesso de dois pontos ,46,37
3,05:28,APB,Assistência do Gegê,44,37
3,05:28,APB,Funches III acerta arremesso de dois pontos ,44,37
3,05:40,APB,Gegê pega rebote defensivo ,44,35
3,05:44,UFC,Gabriel erra tentativa para dois pontos ,44,35
3,05:49,UFC,Antonio pega rebote defensivo ,44,35
3,05:52,APB,Funches III erra tentativa para dois pontos ,44,35
3,06:01,APB,Entra Rodrigues,44,35
3,06:01,APB,Sai Paulo,44,35
3,06:05,UFC,Assistência do Pepo Vidal,44,35
3,06:05,UFC,Antonio acerta arremesso de dois pontos ,44,35
3,06:23,APB,Paulo andou com a bola ,42,35
3,06:37,APB,Gustavo sofre falta ,42,35
3,06:37,UFC,D  Nunes comete falta ,42,35
3,06:37,APB,Pato Basquete pega rebote defensivo ,42,35
3,06:41,UFC,Barnes erra tentativa para três pontos ,42,35
3,07:00,APB,Funches III acerta arremesso de dois pontos ,42,35
3,07:00,APB,Funches III pega rebote ofensivo ,42,33
3,07:04,APB,Paulo erra tentativa para três pontos ,42,33
3,07:13,APB,Gustavo sofre falta ,42,33
3,07:13,UFC,Barnes comete falta ,42,33
3,07:27,APB,Técnico da equipe Pato Basquete pede tempo ,42,33
3,07:27,UFC,Barnes acerta arremesso de dois pontos ,42,33
3,07:54,APB,Paulo andou com a bola ,40,33
3,08:11,UFC,É de três  Pepo Vidal acerta arremesso de três pontos ,40,33
3,08:16,UFC,Pepo Vidal pega rebote defensivo ,37,33
3,08:20,APB,Paulo erra tentativa para três pontos ,37,33
3,08:42,UFC,Antonio acerta arremesso de dois pontos ,37,33
3,08:43,UFC,Antonio pega rebote ofensivo ,35,33
3,08:48,UFC,Barnes erra tentativa para três pontos ,35,33
3,08:50,UFC,Pepo Vidal pega rebote defensivo ,35,33
3,08:55,APB,Funches III erra tentativa para dois pontos ,35,33
3,09:08,APB,Funches III recupera a bola ,35,33
3,09:08,UFC,D  Nunes perde posse de bola ,35,33
3,09:22,APB,Funches III acerta o lance livre ,35,33
3,09:22,APB,Funches III acerta o lance livre ,35,32
3,09:22,APB,Funches III sofre falta ,35,31
3,09:22,UFC,Gabriel comete falta ,35,31
3,09:22,APB,Pato Basquete pega rebote ofensivo ,35,31
3,09:31,APB,Paulo erra tentativa para dois pontos ,35,31
3,09:51,UFC,Antonio acerta arremesso de dois pontos ,35,31
3,10:00,NaN,Início do  terceiro quarto ,33,31
2,00:00,NaN,Fim  do segundo quarto ,33,31
2,00:00,UFC,Barnes erra tentativa para três pontos ,33,31
2,00:03,APB,Entra Leandro,33,31
2,00:03,APB,Sai Rodrigues,33,31
2,00:03,UFC,Entra Pepo Vidal,33,31
2,00:03,UFC,Sai Pezão,33,31
2,00:03,UFC,Entra Gemadinha,33,31
2,00:03,UFC,Sai Gabriel,33,31
2,00:03,UFC,Técnico da equipe UNIFACISA pede tempo ,33,31
2,00:07,APB,Gustavo acerta o lance livre ,33,31
2,00:07,APB,Gustavo acerta o lance livre ,33,30
2,00:07,APB,Gustavo sofre falta ,33,29
2,00:07,UFC,Pezão comete falta ,33,29
2,00:09,UFC,Entra D  Nunes,33,29
2,00:09,UFC,Sai Gemadinha,33,29
2,00:09,APB,Entra Murilo,33,29
2,00:09,APB,Sai Paulo,33,29
2,00:09,APB,Entra Rodrigues,33,29
2,00:09,APB,Sai Augusto,33,29
2,00:09,UFC,Entra Gabriel,33,29
2,00:09,UFC,Sai Antonio,33,29
2,00:09,APB,Pato Basquete pega rebote ofensivo ,33,29
2,00:09,UFC,Antonio dá um toco ,33,29
2,00:09,APB,Augusto erra tentativa para dois pontos ,33,29
2,00:12,APB,Entra Funches III,33,29
2,00:12,APB,Sai Rodrigues,33,29
2,00:25,APB,Entra Augusto,33,29
2,00:25,APB,Sai Funches III,33,29
2,00:25,UFC,João Vitor acerta o lance livre ,33,29
2,00:25,UFC,João Vitor erra o lance livre ,32,29
2,00:25,UFC,Entra João Vitor,32,29
2,00:25,UFC,Sai Gabriel,32,29
2,00:25,APB,Entra Gegê,32,29
2,00:25,APB,Sai Aquiles,32,29
2,00:25,APB,Entra Paulo,32,29
2,00:25,APB,Sai Murilo,32,29
2,00:25,UFC,Entra Pezão,32,29
2,00:25,UFC,Sai João Vitor,32,29
2,00:25,APB,Técnico da equipe Pato Basquete pede tempo ,32,29
2,00:25,UFC,João Vitor sofre falta ,32,29
2,00:25,APB,Rodrigues comete falta ,32,29
2,00:35,UFC,Gemadinha pega rebote defensivo ,32,29
2,00:35,APB,Rodrigues erra o lance livre ,32,29
2,00:35,APB,Rodrigues sofre falta ,32,29
2,00:35,UFC,Antonio comete falta ,32,29
2,00:35,APB,Assistência do Murilo,32,29
2,00:35,APB,Rodrigues acerta arremesso de dois pontos ,32,29
2,00:37,APB,Murilo pega rebote defensivo ,32,27
2,00:42,UFC,Antonio erra tentativa para dois pontos ,32,27
2,00:52,UFC,UNIFACISA pega rebote defensivo ,32,27
2,00:56,APB,Murilo erra tentativa para três pontos ,32,27
2,01:25,UFC,Assistência do Barnes,32,27
2,01:25,UFC,É de três  Gabriel acerta arremesso de três pontos ,32,27
2,01:35,UFC,UNIFACISA pega rebote defensivo ,29,27
2,01:39,APB,Gustavo erra tentativa para dois pontos ,29,27
2,01:52,APB,Pato Basquete pega rebote ofensivo ,29,27
2,02:01,APB,Aquiles erra tentativa para três pontos ,29,27
2,02:13,APB,Técnico da equipe Pato Basquete pede tempo ,29,27
2,02:20,UFC,Assistência do Gabriel,29,27
2,02:20,UFC,É de três  Antonio acerta arremesso de três pontos ,29,27
2,02:22,APB,Entra Aquiles,26,27
2,02:22,APB,Sai Augusto,26,27
2,02:22,UFC,Gemadinha sofre falta ,26,27
2,02:22,APB,Augusto comete falta ,26,27
2,02:32,APB,Augusto recupera a bola ,26,27
2,02:32,UFC,Barnes perde posse de bola ,26,27
2,02:43,APB,Entra Augusto,26,27
2,02:43,APB,Sai Paulo,26,27
2,02:43,UFC,Gemadinha sofre falta ,26,27
2,02:43,APB,Paulo perde posse de bola ,26,27
2,02:43,APB,Paulo comete falta ofensiva ,26,27
2,03:00,UFC,Assistência do Antonio,26,27
2,03:00,UFC,Cravada João Vitor acerta enterrada ,26,27
2,03:08,UFC,João Vitor pega rebote defensivo ,24,27
2,03:11,APB,Funches III erra tentativa para dois pontos ,24,27
2,03:17,APB,Murilo pega rebote defensivo ,24,27
2,03:21,UFC,Barnes erra tentativa para dois pontos ,24,27
2,03:27,APB,Entra Murilo,24,27
2,03:27,APB,Sai Gegê,24,27
2,03:27,UFC,Entra Gabriel,24,27
2,03:27,UFC,Sai D  Nunes,24,27
2,03:27,APB,Paulo perde posse de bola ,24,27
2,03:33,UFC,Gemadinha perde posse de bola ,24,27
2,03:34,UFC,Gemadinha pega rebote ofensivo ,24,27
2,03:37,UFC,D  Nunes erra tentativa para três pontos ,24,27
2,03:48,APB,Assistência do Paulo,24,27
2,03:48,APB,Gustavo acerta arremesso de dois pontos ,24,27
2,03:49,APB,Paulo pega rebote defensivo ,24,25
2,03:54,UFC,Gemadinha erra tentativa para três pontos ,24,25
2,03:59,UFC,D  Nunes pega rebote defensivo ,24,25
2,04:04,APB,Gegê erra tentativa para três pontos ,24,25
2,04:07,APB,Gustavo pega rebote defensivo ,24,25
2,04:11,UFC,D  Nunes erra tentativa para dois pontos ,24,25
2,04:26,APB,Entra Rodrigues,24,25
2,04:26,APB,Sai Paulo,24,25
2,04:26,UFC,Entra João Vitor,24,25
2,04:26,UFC,Sai Pepo Vidal,24,25
2,04:30,UFC,Barnes pega rebote defensivo ,24,25
2,04:33,APB,Gustavo erra tentativa para dois pontos ,24,25
2,04:45,APB,Pato Basquete pega rebote defensivo ,24,25
2,04:52,UFC,Barnes erra tentativa para dois pontos ,24,25
2,04:59,UFC,Gemadinha pega rebote ofensivo ,24,25
2,05:03,UFC,Barnes erra tentativa para três pontos ,24,25
2,05:21,APB,Funches III acerta o lance livre ,24,25
2,05:21,APB,Funches III erra o lance livre ,24,24
2,05:21,APB,Funches III sofre falta ,24,24
2,05:21,UFC,Antonio comete falta ,24,24
2,05:23,APB,Pato Basquete pega rebote ofensivo ,24,24
2,05:27,APB,Gustavo erra tentativa para dois pontos ,24,24
2,05:45,APB,Entra Gustavo,24,24
2,05:45,APB,Sai Augusto,24,24
2,05:45,UFC,Entra Gemadinha,24,24
2,05:45,UFC,Sai Gabriel,24,24
2,05:45,UFC,Gabriel comete violação de volta de quadra ,24,24
2,06:07,APB,É de três  Augusto acerta arremesso de três pontos ,24,24
2,06:26,UFC,Barnes acerta arremesso de dois pontos ,24,21
2,06:39,UFC,Técnico da equipe UNIFACISA pede tempo ,22,21
2,06:43,APB,É de três  Gegê acerta arremesso de três pontos ,22,21
2,06:50,APB,Augusto sofre falta ,22,18
2,06:50,UFC,Pepo Vidal comete falta ,22,18
2,06:57,APB,Funches III pega rebote defensivo ,22,18
2,07:00,UFC,Gabriel erra tentativa para três pontos ,22,18
2,07:12,APB,Cravada Paulo acerta enterrada ,22,18
2,07:14,APB,Paulo pega rebote defensivo ,22,16
2,07:20,UFC,Barnes erra tentativa para dois pontos ,22,16
2,07:33,APB,Gegê perde posse de bola ,22,16
2,07:43,UFC,Entra Barnes,22,16
2,07:43,UFC,Sai João Vitor,22,16
2,07:43,UFC,Entra D  Nunes,22,16
2,07:43,UFC,Sai Gemadinha,22,16
2,07:43,APB,Funches III sofre falta ,22,16
2,07:43,UFC,Gemadinha comete falta ,22,16
2,07:44,APB,Augusto pega rebote ofensivo ,22,16
2,07:51,APB,Gegê erra tentativa para dois pontos ,22,16
2,08:03,UFC,Assistência do Gabriel,22,16
2,08:03,UFC,Gemadinha acerta arremesso de dois pontos ,22,16
2,08:19,APB,Assistência do Gegê,20,16
2,08:19,APB,Paulo acerta arremesso de dois pontos ,20,16
2,08:23,APB,Gegê pega rebote ofensivo ,20,14
2,08:27,APB,Paulo erra tentativa para três pontos ,20,14
2,08:47,UFC,Gabriel perde posse de bola ,20,14
2,08:54,UFC,Pepo Vidal recupera a bola ,20,14
2,08:54,APB,Paulo perde posse de bola ,20,14
2,09:11,UFC,Pepo Vidal andou com a bola ,20,14
2,09:20,UFC,Antonio sofre falta ,20,14
2,09:20,APB,Paulo comete falta ,20,14
2,09:33,APB,Assistência do Gegê,20,14
2,09:33,APB,Paulo acerta arremesso de dois pontos ,20,14
2,09:33,APB,Pato Basquete pega rebote ofensivo ,20,12
2,09:33,UFC,João Vitor dá um toco ,20,12
2,09:33,APB,Paulo erra tentativa para dois pontos ,20,12
2,09:49,UFC,Gabriel perde posse de bola ,20,12
2,10:00,NaN,Início do  segundo quarto ,20,12
1,00:00,NaN,Fim  do primeiro quarto ,20,12
1,00:03,APB,Assistência do Gegê,20,12
1,00:03,APB,Paulo acerta arremesso de dois pontos ,20,12
1,00:25,UFC,Gemadinha acerta o lance livre ,20,10
1,00:25,UFC,Gemadinha acerta o lance livre ,19,10
1,00:25,UFC,Gemadinha acerta o lance livre ,18,10
1,00:25,APB,Entra Funches III,17,10
1,00:25,APB,Sai Coimbra,17,10
1,00:25,APB,Entra Paulo,17,10
1,00:25,APB,Sai Murilo,17,10
1,00:25,APB,Entra Gegê,17,10
1,00:25,APB,Sai Gustavo,17,10
1,00:25,UFC,Entra Antonio,17,10
1,00:25,UFC,Sai D  Nunes,17,10
1,00:25,UFC,Gemadinha sofre falta ,17,10
1,00:25,APB,Augusto comete falta ,17,10
1,00:37,UFC,Pepo Vidal recupera a bola ,17,10
1,00:37,APB,Murilo perde posse de bola ,17,10
1,00:56,UFC,D  Nunes acerta arremesso de dois pontos ,17,10
1,01:07,UFC,Gabriel pega rebote defensivo ,15,10
1,01:09,APB,Murilo erra tentativa para três pontos ,15,10
1,01:11,APB,Murilo pega rebote ofensivo ,15,10
1,01:15,APB,Murilo erra tentativa para três pontos ,15,10
1,01:34,UFC,Assistência do Gemadinha,15,10
1,01:34,UFC,D  Nunes acerta arremesso de dois pontos ,15,10
1,01:38,UFC,Gemadinha pega rebote defensivo ,13,10
1,01:42,APB,Murilo erra tentativa para três pontos ,13,10
1,01:49,APB,Coimbra pega rebote defensivo ,13,10
1,01:52,UFC,D  Nunes erra tentativa para dois pontos ,13,10
1,01:57,UFC,João Vitor acerta o lance livre ,13,10
1,01:57,UFC,João Vitor acerta o lance livre ,12,10
1,01:57,UFC,João Vitor sofre falta ,11,10
1,01:57,APB,Coimbra comete falta antidesportiva ,11,10
1,02:07,UFC,João Vitor pega rebote defensivo ,11,10
1,02:11,APB,Murilo erra tentativa para dois pontos ,11,10
1,02:17,APB,Murilo pega rebote defensivo ,11,10
1,02:20,UFC,João Vitor erra tentativa para dois pontos ,11,10
1,02:42,UFC,UNIFACISA pega rebote defensivo ,11,10
1,02:47,APB,Gustavo erra tentativa para três pontos ,11,10
1,03:07,APB,Entra Coimbra,11,10
1,03:07,APB,Sai Rodrigues,11,10
1,03:07,UFC,João Vitor comete violação de saída de quadra ,11,10
1,03:10,UFC,João Vitor pega rebote ofensivo ,11,10
1,03:10,UFC,Gemadinha erra o lance livre ,11,10
1,03:10,UFC,Entra Gabriel,11,10
1,03:10,UFC,Sai Barnes,11,10
1,03:10,UFC,Entra Pepo Vidal,11,10
1,03:10,UFC,Sai Antonio,11,10
1,03:10,UFC,Gemadinha sofre falta ,11,10
1,03:10,APB,Augusto comete falta ,11,10
1,03:14,UFC,É de três  Gemadinha acerta arremesso de três pontos ,11,10
1,03:22,UFC,João Vitor pega rebote defensivo ,8,10
1,03:30,APB,Paulo erra tentativa para três pontos ,8,10
1,03:40,APB,Gustavo recupera a bola ,8,10
1,03:40,UFC,Barnes perde posse de bola ,8,10
1,03:49,UFC,Gemadinha recupera a bola ,8,10
1,03:49,APB,Gustavo perde posse de bola ,8,10
1,04:01,APB,Entra Augusto,8,10
1,04:01,APB,Sai Paulo,8,10
1,04:01,UFC,João Vitor perde posse de bola ,8,10
1,04:16,APB,Entra Paulo,8,10
1,04:16,APB,Sai Gegê,8,10
1,04:16,APB,Entra Murilo,8,10
1,04:16,APB,Sai Funches III,8,10
1,04:16,UFC,Entra João Vitor,8,10
1,04:16,UFC,Sai Spencer,8,10
1,04:16,UFC,Entra Gemadinha,8,10
1,04:16,UFC,Sai Gabriel,8,10
1,04:16,APB,Paulo andou com a bola ,8,10
1,04:34,UFC,D  Nunes acerta arremesso de dois pontos ,8,10
1,04:54,APB,Gustavo acerta arremesso de dois pontos ,6,10
1,05:09,APB,Rodrigues pega rebote defensivo ,6,8
1,05:12,UFC,D  Nunes erra tentativa para dois pontos ,6,8
1,05:13,UFC,D  Nunes pega rebote ofensivo ,6,8
1,05:19,UFC,Gabriel erra tentativa para três pontos ,6,8
1,05:37,APB,Assistência do Gegê,6,8
1,05:37,APB,Paulo acerta arremesso de dois pontos ,6,8
1,05:53,APB,Gustavo sofre falta ,6,6
1,05:53,UFC,D  Nunes comete falta ,6,6
1,05:53,APB,Pato Basquete pega rebote defensivo ,6,6
1,05:57,UFC,Barnes erra tentativa para dois pontos ,6,6
1,06:18,APB,Cravada Rodrigues acerta enterrada ,6,6
1,06:19,APB,Funches III pega rebote ofensivo ,6,4
1,06:24,APB,Funches III erra tentativa para três pontos ,6,4
1,06:30,APB,Funches III pega rebote defensivo ,6,4
1,06:34,UFC,Spencer erra tentativa para dois pontos ,6,4
1,06:36,UFC,Antonio pega rebote defensivo ,6,4
