Data,Hora,Casa,Visitante,Fase,Local
05/03/2020,21:00,Mogi,Botafogo,18ª SEMANA,Prof. Hugo Ramos
06/03/2020,20:00,Basq. Cearense,Paulistano,18ª SEMANA,Centro de Formação Olímpica
06/03/2020,21:10,Corinthians,Pato Basquete,18ª SEMANA,Ginásio Wlamir Marques
07/03/2020,12:50,Bauru,Minas,18ª SEMANA,Gin. Panela de Pressão
08/03/2020,11:00,Pinheiros,Pato Basquete,19ª SEMANA,Poliesportivo H. Villaboim
09/03/2020,20:00,UNIFACISA,Paulistano,19ª SEMANA,Arena UNIFACISA
09/03/2020,20:30,Brasília,São José,19ª SEMANA,ASCEB
10/03/2020,20:00,São Paulo,Bauru,19ª SEMANA,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi)
10/03/2020,20:00,Corinthians,Mogi,19ª SEMANA,Ginásio Wlamir Marques
11/03/2020,20:00,Pinheiros,Rio Claro,19ª SEMANA,Poliesportivo H. Villaboim
12/03/2020,20:00,São José,Mogi,19ª SEMANA,Gin. Linneu de Moura
13/03/2020,21:10,Sesi Franca,Bauru,19ª SEMANA,Ginásio Pedrocão
14/03/2020,12:50,Corinthians,Minas,19ª SEMANA,Ginásio Wlamir Marques
14/03/2020,18:00,Pinheiros,Brasília,19ª SEMANA,Poliesportivo H. Villaboim
15/03/2020,18:00,UNIFACISA,São Paulo,20ª SEMANA,Arena UNIFACISA
