temporada;time;adversario;fase;cf;posicao;Jogador;frequencia ;Min;Pts C;Pts T;Arc;Art;3P C;3P T;2P C;2P T;LL C;LL T;O;D;RT;AS;BR;TO;FC;FR;ER;EN
15;20;4;1;2;6;Lao Bispo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;20;4;1;2;0;1;1;;63;155;21;61;3;14;18;47;18;19;15;30;45;10;6;0;22;23;10;2
15;4;28;1;1;3;Audrei;1;33,45;12;29;5;12;2;5;3;7;0;0;3;4;7;0;2;0;0;0;1;0
15;4;28;1;1;1;Davi;1;30,07;15;32;4;11;3;6;1;5;4;4;1;1;2;1;1;0;2;4;2;0
15;4;28;1;1;2;Duda Machado;1;27,07;12;35;2;10;2;9;0;1;6;6;0;3;3;4;4;0;1;1;5;0
15;4;28;1;1;2;Rashaun;1;24,17;11;20;2;5;1;2;1;3;6;8;0;5;5;2;0;0;2;6;2;0
15;4;28;1;1;4;Toledo;1;18,53;4;20;2;8;0;3;2;5;0;1;0;1;1;0;0;0;3;5;0;0
15;4;28;1;1;5;Lao Waszkiewicz;1;18,32;3;6;1;2;0;0;1;2;1;2;1;7;8;1;0;4;5;1;2;0
15;4;28;1;1;5;Tiagao;1;17,51;5;9;2;4;1;1;1;3;0;0;1;4;5;0;0;0;4;0;1;0
15;4;28;1;1;4;Felipe 3;1;11,56;0;2;0;1;0;0;0;1;0;0;0;5;5;0;0;0;2;0;0;0
15;4;28;1;1;3;Sualisson;1;9,06;2;4;1;2;0;0;1;2;0;0;0;2;2;0;0;0;5;1;1;0
15;4;28;1;1;4;Romulo;1;3,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
15;4;28;1;1;1;Victor 3;1;3,28;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;4;28;1;1;6;Luis Enrique;1;1,15;2;4;1;1;0;0;1;1;0;2;0;0;0;0;0;0;0;1;0;0
15;4;28;1;1;0;1;1;;66;161;20;56;9;26;11;30;17;23;7;33;40;9;12;4;25;19;14;0
15;28;4;1;2;3;Guto;1;25,28;2;17;1;6;0;5;1;1;0;0;1;3;4;1;0;0;1;0;0;0
15;28;4;1;2;1;Gustavinho;1;25,16;6;17;2;7;0;1;2;6;2;2;2;2;4;1;1;0;4;2;3;0
15;28;4;1;2;5;Marcao;1;24,21;10;26;1;8;0;1;1;7;8;9;1;7;8;2;1;2;4;6;1;0
15;28;4;1;2;3;R, Stabile;1;24,01;2;12;1;5;0;2;1;3;0;0;0;4;4;0;1;0;3;3;2;0
15;28;4;1;2;2;Betinho;1;23,57;0;20;0;8;0;4;0;4;0;0;0;3;3;0;0;0;3;1;1;0
15;28;4;1;2;4;Diego 2;1;22,15;6;16;2;6;1;3;1;3;1;1;0;2;2;0;2;0;1;4;2;0
15;28;4;1;2;3;Alex 1;1;20,58;10;28;2;8;0;5;2;3;6;7;2;1;3;0;0;0;2;4;1;0
15;28;4;1;2;4;Dida;1;15,38;6;11;3;5;0;0;3;5;0;1;3;3;6;0;0;0;1;2;1;0
15;28;4;1;2;1;Vinícius Gobor;1;14,42;8;18;2;6;0;2;2;4;4;4;1;1;2;2;0;0;2;3;3;0
15;28;4;1;2;4;Rubinho;1;3,19;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
15;28;4;1;2;6;Daniel;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;28;4;1;2;3;Tobias;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;28;4;1;2;0;1;1;;50;165;14;59;1;23;13;36;21;24;10;30;40;6;13;2;22;25;14;0
15;4;19;1;1;2;Duda Machado;1;34,3;24;43;7;13;5;11;2;2;5;6;0;0;0;4;4;0;3;6;3;0
15;4;19;1;1;4;Toledo;1;32,17;9;29;3;10;1;7;2;3;2;2;2;5;7;1;1;0;4;4;2;0
15;4;19;1;1;3;Audrei;1;30,55;13;22;5;9;1;2;4;7;2;2;1;6;7;1;4;0;2;3;0;0
15;4;19;1;1;1;Davi;1;30,52;15;26;3;7;1;2;2;5;8;10;1;3;4;1;1;0;0;7;5;0
15;4;19;1;1;5;Tiagao;1;21;2;13;1;5;0;3;1;2;0;0;2;0;2;2;0;0;1;0;2;0
15;4;19;1;1;5;Lao Waszkiewicz;1;19;2;6;1;3;0;0;1;3;0;0;1;2;3;0;0;0;2;1;2;0
